crop,area,rainfall,temperature,fertilizer,yield_per_acre
Cotton,1.67,360.8,15.7,144.3,0.396
Mustard,21.2,23.9,24.6,211.6,0.903
Tomato,18.3,141.3,13.8,183.3,10.569
Onion,3.63,342.2,37.0,126.9,4.822
Onion,12.66,387.5,35.3,59.0,4.339
Rice,5.94,92.0,17.7,109.8,1.759
Mustard,22.41,205.3,17.7,219.6,0.631
Onion,13.97,103.5,40.1,71.5,7.84
Chickpea,23.6,321.2,34.2,209.6,0.47
Millets,20.34,63.1,22.9,88.4,1.211
Rice,14.09,260.7,32.3,26.4,1.958
Cotton,16.05,363.3,40.7,51.7,0.473
Sugarcane,12.49,302.6,37.5,2.4,21.275
Tomato,7.0,388.4,24.9,187.5,9.735
Banana,2.05,299.2,40.3,185.5,24.804
Chickpea,3.41,393.9,22.3,139.2,0.715
Millets,9.77,168.5,12.1,126.6,0.647
Mustard,23.09,317.6,40.6,85.7,0.345
Soybean,22.78,143.2,21.9,80.5,1.327
Groundnut,22.25,98.8,31.5,67.3,1.375
Sugarcane,19.75,381.8,24.0,166.5,27.6
Millets,15.67,35.3,14.2,43.0,0.788
Tomato,19.55,63.1,38.8,84.7,9.166
Maize,4.65,139.4,26.9,109.2,3.045
Onion,2.34,371.0,24.7,96.6,6.988
Chickpea,19.65,46.4,33.1,200.3,0.961
Wheat,6.56,377.6,15.5,3.0,0.963
Rice,21.64,194.9,12.2,128.4,1.836
Banana,4.73,363.8,35.0,98.6,21.888
Cotton,15.4,378.8,15.1,96.0,0.386
Groundnut,9.07,284.3,30.2,62.2,0.875
Soybean,17.82,258.2,25.6,57.2,1.036
Millets,20.6,253.1,29.1,30.0,0.648
Mustard,12.35,195.3,19.3,27.2,0.477
Maize,21.63,275.4,36.6,47.5,1.549
Chickpea,15.54,228.8,14.9,134.5,0.639
Banana,24.64,231.2,21.9,21.6,17.792
Wheat,23.59,117.6,25.1,142.0,1.377
Chickpea,5.86,105.6,30.1,68.2,0.865
Chickpea,6.93,205.3,40.0,106.6,0.438
Rice,21.49,279.1,12.9,25.9,1.363
Groundnut,19.12,64.5,27.1,141.3,1.338
Onion,8.89,256.7,35.0,210.3,5.497
Tomato,9.11,294.1,36.1,91.2,7.953
Groundnut,17.08,189.1,16.0,123.5,0.805
Maize,1.76,215.9,40.1,211.0,1.902
Maize,10.81,141.0,26.5,131.1,2.715
Maize,16.04,359.0,34.1,114.1,1.563
Banana,18.0,147.7,19.0,144.8,25.179
Mustard,19.79,106.2,29.8,66.8,0.7
Onion,7.53,32.6,14.3,16.4,7.379
Mustard,2.54,176.8,32.9,193.6,0.456
Sugarcane,24.46,257.8,34.1,106.3,29.808
Banana,24.02,379.2,21.7,43.1,17.285
Maize,23.16,35.6,30.3,183.8,2.277
Groundnut,15.49,188.6,14.0,111.0,0.914
Rice,8.1,325.0,29.6,205.7,1.811
Tomato,18.26,135.8,25.3,164.0,11.008
Millets,0.69,26.6,14.0,6.9,0.75
Tomato,13.9,211.9,14.6,170.4,9.8
Maize,20.56,283.2,14.8,16.3,1.267
Sugarcane,15.28,113.8,29.6,79.1,27.153
Wheat,21.16,94.4,14.6,26.0,1.465
Onion,8.45,30.9,37.0,186.8,8.095
Sugarcane,17.82,238.4,31.9,19.3,28.587
Cotton,7.1,168.5,19.4,218.7,0.787
Potato,23.8,240.9,36.0,199.2,6.747
Banana,7.09,172.6,30.7,169.0,29.094
Wheat,16.53,161.4,32.4,187.4,1.464
Mustard,9.98,282.9,24.9,39.1,0.435
Sugarcane,6.54,349.8,31.3,95.0,29.298
Maize,4.99,45.8,39.3,9.8,1.772
Soybean,22.4,289.7,19.3,59.5,0.757
Onion,17.65,334.6,25.4,170.8,6.071
Onion,8.35,36.3,34.1,52.9,7.745
Cotton,15.98,300.8,24.2,207.8,0.535
Soybean,15.62,254.6,31.7,139.5,1.13
Chickpea,20.45,391.4,40.2,114.4,0.382
Sugarcane,16.44,22.8,23.0,201.2,26.775
Soybean,0.92,218.6,23.0,177.9,1.134
Banana,17.95,246.3,20.2,174.5,22.41
Potato,9.34,121.3,31.9,80.9,10.19
Mustard,11.72,335.3,40.6,157.0,0.359
Groundnut,8.78,92.1,31.9,131.6,1.751
Rice,3.08,247.4,23.0,39.2,2.216
Groundnut,6.34,94.9,26.5,178.2,1.514
Tomato,11.49,340.3,41.7,187.0,5.175
Sugarcane,21.82,288.5,15.4,18.5,21.468
Cotton,11.73,271.5,21.1,154.3,0.58
Banana,9.04,187.4,25.7,207.4,28.199
Cotton,7.32,133.8,12.3,116.7,0.678
Maize,3.55,396.3,34.8,40.3,1.313
Tomato,16.0,198.8,16.2,101.2,10.436
Cotton,18.83,258.1,37.3,182.3,0.584
Tomato,3.67,323.6,41.9,123.8,5.547
Wheat,16.74,52.4,39.8,184.6,1.515
Maize,9.11,254.0,24.4,116.0,2.086
Onion,1.82,56.5,14.5,130.9,9.658
Cotton,12.76,35.4,35.9,154.2,0.845
Chickpea,1.34,267.7,27.0,167.3,0.575
Chickpea,24.06,343.4,38.8,16.7,0.328
Onion,6.54,227.1,33.2,164.3,6.891
Banana,6.56,367.9,38.5,159.2,21.032
Millets,5.11,185.5,13.2,62.5,0.632
Maize,15.61,62.3,38.2,21.3,1.786
Chickpea,12.77,241.2,21.6,156.9,0.748
Potato,11.6,63.1,41.0,121.0,8.375
Sugarcane,20.0,293.7,24.9,216.4,30.746
Chickpea,19.89,372.9,19.9,1.5,0.523
Maize,18.45,119.1,40.9,36.9,1.938
Mustard,4.69,210.5,12.8,141.2,0.599
Banana,19.57,210.5,22.6,30.1,21.307
Soybean,23.01,311.1,23.8,216.4,1.034
Chickpea,24.94,107.5,17.0,188.8,0.804
Banana,18.83,79.6,15.7,98.3,18.446
Banana,10.87,100.6,18.5,112.2,22.119
Potato,1.31,351.8,30.6,35.2,5.279
Groundnut,12.57,214.1,19.7,86.6,0.893
Wheat,15.78,102.4,25.3,117.3,1.571
Maize,2.42,203.9,24.3,202.6,2.334
Banana,23.24,27.2,38.4,210.9,18.952
Banana,16.08,151.5,15.0,57.8,20.356
Soybean,16.51,22.0,18.9,16.2,0.771
Groundnut,20.18,31.8,36.4,182.0,1.277
Millets,11.98,111.0,38.1,183.6,1.051
Banana,14.73,231.6,26.6,133.9,24.953
Wheat,7.36,20.9,27.6,80.2,1.524
Groundnut,3.23,212.1,20.1,0.1,0.72
Onion,13.43,256.4,21.7,27.1,4.682
Potato,19.83,251.1,35.7,198.5,8.488
Chickpea,12.83,198.1,14.2,12.0,0.414
Chickpea,5.49,52.9,12.7,215.2,1.193
Sugarcane,13.84,92.9,16.4,44.2,19.527
Millets,5.52,334.6,23.0,115.9,0.671
Soybean,24.94,188.6,21.7,214.3,1.057
Tomato,19.63,323.1,24.2,118.6,8.01
Rice,20.73,162.1,28.1,170.5,2.5
Potato,15.45,314.8,13.6,55.8,5.653
Soybean,12.2,286.3,23.5,136.6,0.985
Rice,20.99,157.8,33.2,28.6,1.566
Tomato,24.27,174.0,38.2,90.7,7.339
Chickpea,17.35,89.5,36.0,73.7,0.777
Sugarcane,13.66,299.2,32.0,146.1,31.73
Groundnut,14.84,326.7,21.0,39.9,0.633
Cotton,22.56,386.7,38.0,120.5,0.491
Chickpea,8.69,25.6,35.4,171.9,0.874
Cotton,22.1,141.8,12.5,192.7,0.639
Banana,6.19,226.2,36.5,172.0,24.343
Sugarcane,17.29,262.3,17.0,96.8,23.856
Mustard,0.95,174.1,18.8,19.7,0.474
Mustard,5.16,319.0,36.3,145.4,0.467
Sugarcane,16.0,291.1,19.0,29.2,21.502
Mustard,4.26,92.9,27.0,116.0,0.786
Soybean,24.56,35.1,35.6,77.4,0.943
Banana,15.69,259.8,31.9,164.5,25.083
Onion,9.34,340.0,28.4,30.1,4.788
Tomato,13.06,222.6,20.8,113.6,9.268
Millets,6.74,135.8,38.9,84.6,0.914
Maize,0.61,382.4,19.1,152.7,1.45
Cotton,18.83,103.6,36.0,212.7,0.968
Tomato,18.04,398.6,22.9,218.9,8.341
Soybean,18.12,165.1,28.1,158.5,1.404
Sugarcane,14.15,337.3,26.3,124.6,27.848
Cotton,4.42,45.1,24.2,139.0,0.898
Chickpea,8.3,327.0,15.4,218.5,0.655
Wheat,23.53,297.5,40.9,146.4,0.737
Maize,6.04,234.7,23.2,175.8,2.23
Mustard,21.67,113.8,41.9,177.2,0.561
Chickpea,9.06,60.3,30.5,24.8,0.777
Wheat,16.86,192.2,38.4,53.0,0.891
Millets,9.15,199.6,40.0,109.8,0.586
Banana,23.54,117.3,35.6,143.8,20.811
Wheat,19.92,151.4,30.2,171.3,1.549
Potato,6.67,50.0,41.3,132.6,8.28
Groundnut,23.43,394.1,21.8,172.0,0.854
Chickpea,10.25,308.1,20.1,93.8,0.558
Banana,9.79,384.5,24.6,150.3,22.558
Wheat,21.7,257.5,40.5,71.7,0.71
Potato,3.83,242.4,36.1,44.0,6.366
Maize,16.95,203.4,35.0,130.7,2.189
Potato,22.22,157.3,36.3,218.2,8.62
Onion,13.02,347.7,23.9,111.8,5.179
Wheat,5.39,168.6,23.8,33.6,1.19
Mustard,18.75,343.8,40.6,210.4,0.398
Tomato,10.22,51.2,32.3,213.9,12.574
Wheat,13.4,222.6,16.9,183.4,1.331
Millets,24.07,114.0,23.6,169.4,0.822
Soybean,15.28,201.6,20.5,35.8,1.104
Mustard,24.94,23.8,38.5,208.4,0.631
Sugarcane,15.88,317.4,30.5,193.6,31.202
Mustard,13.99,150.9,27.8,74.6,0.594
Millets,4.33,341.0,23.7,102.7,0.66
Banana,19.81,31.4,39.2,41.5,18.771
Banana,22.62,56.1,16.0,126.7,17.457
Millets,20.34,360.0,41.7,27.1,0.441
Soybean,21.85,111.4,26.4,1.6,0.944
Millets,17.84,256.5,13.2,131.1,0.455
Wheat,5.45,362.5,25.4,171.9,1.125
Groundnut,22.26,82.3,22.5,154.3,1.436
Wheat,23.24,395.3,16.4,49.8,1.026
Onion,13.78,161.7,38.6,202.0,7.063
Maize,2.84,396.6,16.5,38.2,1.223
Tomato,4.12,142.4,12.7,176.2,11.22
Cotton,20.54,265.8,26.4,213.9,0.602
Potato,14.65,73.3,20.3,199.7,11.464
Maize,11.91,201.7,29.0,18.5,1.85
Groundnut,8.37,101.1,31.4,124.6,1.588
Potato,23.47,315.5,29.9,46.1,5.046
Potato,14.74,262.4,16.9,73.7,7.274
Tomato,3.86,244.1,38.9,3.1,6.067
Tomato,18.02,289.5,38.0,37.6,5.696
Banana,8.91,352.7,28.0,168.5,23.644
Chickpea,21.04,170.2,27.8,159.6,0.611
Sugarcane,7.91,143.7,39.5,30.3,20.709
Potato,20.95,274.8,28.5,184.5,6.577
Millets,23.14,262.9,33.8,170.6,0.706
Maize,4.91,308.6,23.7,44.0,1.412
Onion,6.39,212.9,19.4,146.5,7.487
Potato,3.7,114.0,36.1,59.7,8.666
Rice,4.25,77.0,33.6,155.8,2.017
Potato,15.89,390.5,34.3,176.7,4.677
Groundnut,9.84,46.3,34.4,26.6,1.028
Wheat,14.18,159.5,27.4,53.9,1.422
Onion,10.61,42.2,41.4,98.5,7.613
Potato,11.51,179.7,38.8,7.6,6.81
Millets,7.08,306.0,37.1,136.4,0.668
Soybean,14.57,261.4,39.7,54.8,0.854
Chickpea,5.16,285.0,39.1,71.9,0.439
Banana,4.06,354.2,40.8,175.9,19.226
Millets,16.51,130.7,15.6,23.6,0.654
Soybean,16.55,142.1,29.4,136.2,1.374
Millets,7.58,228.0,37.2,28.5,0.499
Potato,12.5,74.7,28.5,77.8,8.982
Potato,22.06,195.0,14.4,66.5,8.648
Onion,6.46,212.4,34.4,34.9,5.594
Millets,16.51,355.1,31.6,17.6,0.6
Wheat,10.01,377.8,13.1,66.5,1.179
Cotton,2.62,203.7,15.2,184.3,0.662
Cotton,15.65,136.2,22.5,112.3,0.754
Chickpea,11.59,206.5,29.9,93.5,0.568
Mustard,12.33,370.7,30.5,107.0,0.478
Rice,10.13,197.6,17.9,27.3,1.666
Mustard,11.97,377.0,17.3,53.7,0.517
Onion,1.84,211.3,15.7,35.5,5.598
Wheat,5.69,123.1,20.5,31.2,1.491
Chickpea,17.46,62.1,22.7,38.0,1.043
Mustard,3.85,354.3,37.3,163.6,0.464
Millets,6.83,335.8,37.0,115.6,0.626
Mustard,1.87,88.3,27.3,187.9,0.868
Maize,15.22,304.2,31.2,97.6,1.815
Cotton,23.24,64.2,31.1,110.1,0.848
Cotton,11.03,36.0,34.5,77.5,0.867
Mustard,14.64,343.5,16.1,62.0,0.497
Mustard,22.22,317.0,37.0,125.1,0.355
Soybean,13.98,27.2,31.2,188.1,1.275
Soybean,17.15,203.8,12.1,62.5,0.913
Maize,10.35,90.8,13.8,157.2,2.641
Onion,16.35,104.3,34.6,75.8,7.606
Potato,18.42,374.3,41.1,100.4,3.643
Chickpea,14.15,222.7,15.4,147.6,0.638
Potato,8.14,49.3,24.1,106.0,9.568
Wheat,12.18,325.1,18.4,166.8,1.348
Chickpea,8.23,375.9,22.9,11.0,0.525
Potato,22.34,77.0,25.4,152.2,9.901
Chickpea,9.05,271.6,12.3,57.9,0.43
Tomato,11.65,75.4,28.4,39.7,11.557
Sugarcane,11.28,327.0,21.5,155.4,27.261
Wheat,6.24,135.3,21.1,163.3,1.797
Cotton,17.34,172.4,41.9,47.6,0.6
Millets,7.14,226.6,13.6,186.2,0.644
Tomato,23.22,31.5,41.0,115.5,8.746
Potato,12.09,330.0,38.4,84.0,4.172
Cotton,19.05,383.6,34.1,72.6,0.552
Millets,16.83,32.6,17.2,57.5,0.958
Sugarcane,20.76,45.5,14.2,65.9,21.077
Mustard,21.13,350.4,18.2,168.8,0.59
Chickpea,19.44,220.9,35.5,67.8,0.43
Banana,19.64,345.0,19.3,186.8,21.196
Millets,23.28,33.6,30.8,145.1,1.141
Onion,3.02,365.6,41.8,147.9,4.414
Soybean,1.84,306.2,14.1,71.0,0.842
Potato,18.29,245.9,33.0,14.2,5.949
Rice,15.26,58.9,31.4,86.8,1.971
Soybean,11.52,58.8,15.1,55.9,0.866
Tomato,18.2,49.1,37.5,21.1,8.234
Mustard,3.23,163.0,34.5,55.8,0.493
Maize,17.43,358.7,31.2,16.3,1.205
Mustard,20.65,51.8,16.1,149.1,0.952
Groundnut,18.51,83.6,25.3,164.6,1.335
Cotton,9.05,259.0,22.4,192.3,0.622
Chickpea,19.67,364.5,33.1,170.1,0.559
Potato,20.68,124.3,14.1,129.7,8.337
Mustard,15.43,57.4,38.6,213.2,0.693
Wheat,7.55,233.8,12.9,136.7,1.176
Tomato,4.88,394.9,18.2,91.7,7.207
Groundnut,13.77,364.0,16.9,31.0,0.553
Banana,15.25,332.1,37.1,22.4,17.872
Potato,20.82,266.0,22.4,164.0,8.339
Millets,0.82,245.1,29.3,34.0,0.706
Cotton,4.4,129.1,23.2,150.3,0.976
Soybean,10.65,89.5,15.4,90.7,1.138
Tomato,3.86,203.3,27.1,215.8,10.802
Maize,12.18,28.2,27.3,74.3,2.318
Rice,12.59,343.0,29.5,87.2,1.837
Cotton,19.97,355.5,21.7,108.8,0.483
Maize,11.65,350.4,16.1,64.1,1.247
Groundnut,9.67,277.0,41.5,196.3,0.705
Wheat,19.54,237.1,26.8,37.5,0.952
Maize,24.65,251.3,40.3,56.9,1.489
Groundnut,24.47,145.3,28.1,15.7,0.893
Sugarcane,22.7,82.8,17.5,181.7,26.725
Rice,6.77,246.6,19.6,63.0,1.914
Sugarcane,3.67,338.1,34.5,62.8,25.348
Chickpea,14.65,273.3,24.6,143.6,0.666
Banana,2.8,377.6,24.0,135.8,21.754
Groundnut,1.16,43.8,19.9,148.5,1.338
Mustard,12.47,159.5,29.1,73.6,0.503
Maize,12.07,182.1,33.1,171.8,2.434
Rice,2.58,144.2,34.0,143.8,2.331
Wheat,0.61,264.2,28.9,169.9,1.123
Banana,18.46,204.8,29.2,78.5,26.093
Sugarcane,5.3,97.7,19.1,173.7,29.061
Millets,4.03,30.7,32.5,118.6,1.069
Sugarcane,17.85,341.0,24.5,182.0,26.899
Maize,14.0,370.1,23.1,151.8,1.793
Tomato,24.97,49.4,29.9,51.1,9.878
Banana,16.72,202.5,32.4,122.0,24.532
Mustard,20.58,214.8,19.7,146.2,0.611
Potato,12.02,261.0,16.7,158.0,9.453
Onion,18.67,197.5,31.2,120.8,7.25
Wheat,10.63,329.7,21.7,164.8,1.266
Rice,9.15,20.2,24.9,86.4,1.834
Onion,23.91,66.1,18.9,139.1,10.006
Mustard,23.38,373.9,25.2,216.9,0.528
Wheat,14.13,323.8,30.6,180.5,0.961
Tomato,7.55,307.8,26.9,39.5,7.112
Maize,23.14,308.9,33.5,178.6,1.452
Mustard,14.7,245.8,40.4,3.4,0.241
Groundnut,1.05,217.1,14.1,132.7,0.919
Onion,19.42,240.2,35.6,81.1,4.336
Mustard,16.56,120.2,41.7,179.9,0.492
Banana,0.78,333.9,18.5,111.8,23.911
Maize,6.47,210.1,21.0,135.4,1.937
Soybean,10.5,244.8,41.7,109.0,0.964
Maize,23.17,275.7,28.3,59.6,1.823
Millets,20.93,393.0,17.1,60.3,0.492
Onion,18.06,59.4,33.2,103.2,7.21
Banana,6.64,140.8,28.1,35.6,22.869
Wheat,10.56,384.8,34.2,15.1,0.695
Rice,5.3,200.2,20.8,205.5,2.444
Soybean,17.68,157.9,38.4,89.4,1.052
Banana,19.8,128.8,14.2,191.0,22.338
Cotton,8.22,177.7,24.9,102.9,0.71
Millets,6.5,251.1,20.8,28.8,0.521
Tomato,15.37,120.2,41.6,79.8,10.942
Chickpea,1.36,284.2,21.1,118.1,0.805
Banana,9.31,298.3,24.4,14.0,19.919
Onion,23.45,51.8,32.6,184.7,9.577
Wheat,6.31,93.7,23.9,141.1,1.789
Groundnut,12.47,248.0,18.3,163.1,0.817
Millets,12.21,158.6,28.5,168.5,0.854
Potato,18.57,99.6,35.4,73.8,8.379
Mustard,20.84,256.8,37.2,123.5,0.329
Wheat,14.14,265.4,13.7,147.3,1.02
Tomato,3.26,151.9,13.8,132.2,10.572
Sugarcane,22.99,216.7,33.9,146.1,33.436
Cotton,10.68,65.5,31.5,66.5,0.851
Cotton,23.08,279.5,20.0,113.2,0.474
Maize,19.95,139.8,39.6,32.4,1.87
Mustard,1.33,138.3,24.4,53.1,0.647
Wheat,23.14,299.2,33.0,172.9,0.99
Rice,2.01,371.8,24.9,99.8,2.045
Banana,8.16,344.9,27.6,92.4,20.293
Maize,22.27,357.2,18.4,185.7,1.365
Banana,1.67,231.2,18.6,204.0,26.735
Tomato,15.63,112.4,24.6,116.5,12.205
Potato,3.27,191.3,20.9,118.6,9.436
Potato,1.05,98.9,31.8,119.8,11.179
Banana,12.83,77.1,12.1,73.8,17.462
Potato,3.76,378.9,28.3,166.8,6.035
Sugarcane,14.78,149.4,14.5,174.6,28.183
Sugarcane,21.79,321.9,31.2,130.1,26.617
Chickpea,18.54,88.6,12.6,68.7,0.782
Rice,5.22,290.1,28.8,202.4,2.429
Millets,22.61,326.4,15.5,40.8,0.454
Mustard,8.64,356.5,27.7,192.7,0.538
Onion,2.26,189.3,39.0,98.9,6.554
Banana,9.34,335.1,30.9,178.6,23.891
Groundnut,13.45,235.6,32.7,26.6,0.788
Potato,9.2,24.8,31.3,135.0,9.86
Cotton,11.81,389.9,29.3,78.7,0.523
Millets,5.31,387.2,25.2,2.3,0.543
Onion,2.68,29.0,38.5,7.4,6.534
Wheat,12.49,366.2,39.3,202.6,0.859
Cotton,20.73,65.7,15.4,202.8,0.816
Groundnut,9.88,94.1,14.5,214.3,1.345
Onion,6.78,206.6,35.0,145.1,6.66
Groundnut,13.01,70.1,24.1,199.2,1.501
Groundnut,21.09,334.7,36.1,179.3,0.709
Rice,1.85,165.8,41.1,121.6,2.003
Sugarcane,5.69,391.8,22.8,123.4,23.209
Soybean,24.19,118.2,39.4,64.2,0.907
Cotton,21.87,247.9,15.4,65.0,0.44
Soybean,16.85,155.3,17.9,182.3,1.263
Onion,9.08,165.3,12.9,207.6,8.714
Groundnut,12.33,155.7,22.7,150.8,1.149
Soybean,2.26,352.1,40.7,217.6,0.815
Mustard,12.42,376.8,34.8,13.2,0.3
Millets,19.61,176.5,31.0,157.5,0.851
Mustard,19.71,123.8,17.5,189.0,0.695
Maize,20.9,323.6,36.1,75.0,1.47
Rice,0.84,20.9,19.8,115.6,1.961
Wheat,21.76,384.6,15.6,181.2,1.244
Wheat,12.81,205.8,34.5,46.0,0.881
Mustard,2.59,230.1,20.1,163.4,0.677
Sugarcane,6.0,347.4,22.4,156.0,29.779
Tomato,21.58,369.1,22.6,69.3,6.445
Maize,6.07,348.4,12.3,31.3,0.934
Onion,21.72,263.2,15.2,17.4,4.259
Cotton,15.69,245.6,15.4,167.4,0.513
Millets,14.04,144.4,15.6,202.2,0.834
Millets,9.04,221.7,29.1,128.1,0.827
Cotton,18.12,358.0,12.9,7.9,0.318
Wheat,8.14,192.9,21.3,122.4,1.355
Cotton,9.21,119.0,28.4,84.5,1.009
Onion,15.48,359.9,12.1,22.4,4.218
Sugarcane,2.03,378.2,31.5,106.9,29.76
Potato,15.1,161.9,20.9,99.8,10.422
Chickpea,12.09,27.0,32.5,15.3,0.623
Tomato,17.85,247.2,25.6,37.9,8.417
Banana,15.31,89.7,29.9,33.3,21.692
Wheat,12.04,289.7,19.2,109.5,1.307
Potato,15.13,103.7,15.7,32.8,10.526
Chickpea,2.62,77.6,18.2,173.3,1.16
Chickpea,10.76,322.0,38.9,98.4,0.492
Mustard,23.36,25.8,28.9,144.6,0.697
Soybean,17.36,130.1,36.6,13.9,0.928
Tomato,5.45,310.9,35.7,38.5,5.482
Tomato,1.8,183.4,17.8,27.8,9.658
Mustard,7.68,264.7,12.1,17.5,0.459
Maize,22.05,51.3,30.7,154.6,2.429
Soybean,17.18,114.7,35.0,122.0,1.252
Sugarcane,3.61,170.3,23.7,28.3,31.242
Wheat,2.48,39.9,13.0,177.7,2.084
Potato,5.08,144.8,36.6,204.4,8.589
