crop,soil_type,nitrogen,phosphorus,potassium,fertilizer
Rice,Black,64.4,94.5,41.1,Urea
Sugarcane,Alluvial,77.2,64.3,86.7,Organic Compost
Onion,Clay,119.4,68.5,130.9,Organic Compost
Wheat,Sandy,53.8,73.7,75.5,Urea
Rice,Red,87.1,132.0,139.5,Urea
Maize,Desert,17.1,75.2,34.5,Urea
Groundnut,Alluvial,33.4,42.1,128.2,Urea
Sugarcane,Sandy,94.6,54.9,2.0,MOP
Potato,Laterite,131.8,34.8,97.8,DAP
Rice,Desert,41.1,130.4,85.1,Urea
Cotton,Clay,33.4,113.8,91.0,Urea
Maize,Clay,86.4,5.1,41.7,NPK 10-26-26
Potato,Sandy,124.6,53.8,70.7,Organic Compost
Wheat,Clay,52.9,3.2,123.2,DAP
Chickpea,Laterite,76.5,28.6,57.7,DAP
Wheat,Black,118.5,50.7,114.1,Organic Compost
Mustard,Alluvial,50.6,22.2,97.1,DAP
Sugarcane,Clay,109.0,120.7,108.7,Organic Compost
Chickpea,Sandy,58.2,9.9,98.8,DAP
Sugarcane,Black,133.6,7.4,103.0,DAP
Mustard,Red,127.7,115.7,104.2,Organic Compost
Rice,Sandy,69.3,94.6,57.7,Urea
Onion,Alluvial,52.9,112.4,132.4,Urea
Chickpea,Black,80.0,80.6,24.6,MOP
Soybean,Red,131.9,35.7,116.9,DAP
Chickpea,Sandy,30.1,36.5,136.0,Urea
Sugarcane,Alluvial,137.0,108.8,104.5,Organic Compost
Maize,Laterite,117.7,46.0,27.0,Organic Compost
Potato,Desert,120.9,39.7,21.2,NPK 10-26-26
Cotton,Loamy,95.9,130.0,22.7,MOP
Millets,Desert,67.0,110.8,118.3,DAP
Chickpea,Laterite,139.2,82.5,41.5,MOP
Tomato,Red,62.7,62.2,71.0,Organic Compost
Banana,Loamy,3.9,7.6,52.0,Urea
Onion,Clay,15.4,69.3,84.6,Urea
Potato,Sandy,139.6,13.5,72.2,DAP
Sugarcane,Loamy,23.4,89.4,6.2,Urea
Tomato,Sandy,46.3,138.5,116.0,Urea
Rice,Desert,116.2,19.3,82.7,DAP
Potato,Sandy,131.7,68.9,10.8,MOP
Onion,Clay,50.2,3.8,42.5,NPK 20-20-20
Onion,Alluvial,52.6,18.6,66.6,DAP
Onion,Alluvial,97.7,22.1,21.7,NPK 10-26-26
Millets,Alluvial,4.6,60.4,51.1,Urea
Cotton,Desert,60.9,80.6,128.7,Organic Compost
Chickpea,Clay,76.8,89.2,130.6,Organic Compost
Banana,Desert,84.9,63.0,36.5,MOP
Groundnut,Clay,87.3,122.3,40.7,MOP
Millets,Loamy,32.3,69.7,131.1,Urea
Cotton,Alluvial,48.8,85.6,85.7,Urea
Groundnut,Sandy,3.7,10.6,136.3,Urea
Chickpea,Alluvial,47.5,74.9,45.1,Urea
Millets,Sandy,97.1,24.5,14.7,NPK 10-26-26
Cotton,Clay,118.2,139.9,87.2,Organic Compost
Chickpea,Clay,8.9,113.3,106.2,Urea
Mustard,Alluvial,28.3,51.8,131.8,Urea
Rice,Clay,68.4,109.2,45.3,Urea
Chickpea,Desert,46.1,45.6,63.7,Urea
Tomato,Black,118.6,138.8,135.0,Organic Compost
Banana,Laterite,97.8,2.2,139.1,MOP
Potato,Loamy,93.6,128.0,90.2,Organic Compost
Banana,Red,82.7,105.0,72.2,Organic Compost
Tomato,Alluvial,47.0,134.4,45.3,MOP
Banana,Loamy,131.1,22.8,41.9,NPK 10-26-26
Cotton,Sandy,76.0,55.3,57.6,Organic Compost
Potato,Sandy,130.1,136.1,76.6,Organic Compost
Potato,Sandy,117.5,92.3,16.1,MOP
Soybean,Sandy,121.8,59.5,66.5,Organic Compost
Onion,Clay,11.0,57.0,107.8,Urea
Wheat,Alluvial,37.1,65.1,31.2,DAP
Chickpea,Desert,58.2,51.8,138.0,Urea
Tomato,Loamy,40.2,116.2,115.3,Urea
Mustard,Red,95.5,62.0,108.3,Organic Compost
Tomato,Laterite,138.6,25.0,20.7,NPK 10-26-26
Groundnut,Red,22.4,26.6,97.3,Urea
Millets,Desert,137.6,5.4,86.9,DAP
Chickpea,Laterite,125.9,77.4,34.5,MOP
Cotton,Loamy,125.6,35.0,127.0,DAP
Wheat,Black,116.7,16.3,12.0,NPK 10-26-26
Millets,Laterite,36.7,112.2,127.1,Urea
Wheat,Alluvial,78.4,109.1,48.2,Organic Compost
Banana,Black,80.5,138.9,65.8,Organic Compost
Tomato,Alluvial,36.5,46.3,137.0,Urea
Chickpea,Red,79.4,124.6,106.1,Organic Compost
Tomato,Laterite,99.7,22.6,70.5,DAP
Cotton,Black,139.6,130.1,104.7,Organic Compost
Rice,Sandy,88.3,135.3,6.0,MOP
Millets,Red,127.0,24.6,44.4,NPK 10-26-26
Tomato,Sandy,112.0,129.3,94.5,Organic Compost
Millets,Laterite,17.4,99.3,84.2,Urea
Chickpea,Clay,109.8,114.9,51.0,Organic Compost
Sugarcane,Red,15.1,23.3,69.2,Urea
Soybean,Loamy,111.3,76.9,125.1,Organic Compost
Onion,Alluvial,12.5,32.4,92.1,Urea
Groundnut,Red,93.3,84.8,22.1,MOP
Tomato,Laterite,115.4,95.5,90.3,Organic Compost
Soybean,Alluvial,5.5,28.2,19.6,NPK 20-20-20
Chickpea,Desert,110.3,16.1,15.6,NPK 10-26-26
Cotton,Sandy,28.3,2.0,38.7,NPK 20-20-20
Sugarcane,Loamy,29.6,69.4,32.1,Urea
Cotton,Black,125.6,129.9,99.8,Organic Compost
Soybean,Sandy,42.8,111.8,4.1,MOP
Groundnut,Laterite,67.3,45.2,51.1,Organic Compost
Cotton,Alluvial,34.2,6.1,119.8,DAP
Potato,Black,68.4,86.7,87.8,NPK 10-26-26
Wheat,Loamy,70.3,13.4,104.4,DAP
Soybean,Alluvial,112.4,121.1,33.7,MOP
Maize,Alluvial,101.0,65.1,110.9,Organic Compost
Wheat,Red,117.7,5.4,26.2,NPK 10-26-26
Chickpea,Loamy,0.7,80.5,53.0,Urea
Soybean,Desert,61.7,77.6,64.8,Organic Compost
Soybean,Clay,123.9,113.6,132.7,Organic Compost
Cotton,Sandy,23.6,136.8,81.3,Urea
Potato,Clay,82.1,133.0,107.8,Organic Compost
Groundnut,Loamy,72.4,106.0,14.7,MOP
Banana,Desert,128.3,133.8,8.7,MOP
Potato,Desert,12.5,63.2,47.8,Urea
Sugarcane,Loamy,40.7,73.4,15.7,Urea
Cotton,Loamy,84.1,61.3,41.2,MOP
Groundnut,Desert,58.3,69.4,52.6,Urea
Potato,Clay,13.4,85.1,67.8,Urea
Millets,Desert,104.2,121.1,70.4,Organic Compost
Sugarcane,Sandy,104.9,31.9,70.5,DAP
Groundnut,Black,123.5,20.3,113.6,DAP
Maize,Sandy,127.4,109.3,115.6,Organic Compost
Soybean,Red,102.6,108.8,110.6,Organic Compost
Cotton,Black,40.5,131.9,77.5,Urea
Potato,Loamy,129.4,121.6,36.6,MOP
Groundnut,Red,61.7,119.2,45.4,Organic Compost
Soybean,Sandy,140.0,18.3,98.1,DAP
Rice,Laterite,105.0,77.7,111.7,Organic Compost
Tomato,Desert,113.5,9.4,109.1,DAP
Onion,Alluvial,84.8,105.1,27.6,MOP
Chickpea,Loamy,57.8,122.6,23.6,MOP
Sugarcane,Clay,62.7,75.5,21.5,MOP
Soybean,Loamy,31.5,112.9,86.3,Urea
Chickpea,Red,120.2,38.8,100.8,DAP
Chickpea,Desert,62.9,68.8,79.8,Organic Compost
Millets,Sandy,2.0,22.7,26.4,NPK 20-20-20
Soybean,Desert,8.9,119.3,114.7,Urea
Millets,Black,49.0,16.1,106.2,DAP
Millets,Laterite,101.5,41.0,122.0,Organic Compost
Wheat,Red,75.6,36.3,137.9,DAP
Tomato,Desert,136.9,75.0,102.2,Organic Compost
Maize,Alluvial,133.3,63.9,125.2,Organic Compost
Mustard,Alluvial,58.4,27.4,23.8,NPK 20-20-20
Onion,Alluvial,135.3,63.0,68.6,Organic Compost
Onion,Alluvial,82.4,48.3,87.4,Organic Compost
Maize,Black,64.6,43.1,33.6,MOP
Sugarcane,Alluvial,37.6,74.4,66.7,Urea
Rice,Clay,105.2,72.0,60.0,MOP
Mustard,Red,44.9,84.9,105.6,Urea
Groundnut,Sandy,129.0,15.8,135.7,DAP
Maize,Clay,128.1,56.9,112.0,Organic Compost
Millets,Clay,49.8,85.4,1.3,MOP
Wheat,Alluvial,120.2,32.5,73.9,DAP
Millets,Red,129.2,139.7,34.0,MOP
Sugarcane,Red,62.4,12.5,20.7,NPK 20-20-20
Soybean,Sandy,118.3,105.2,75.1,Organic Compost
Sugarcane,Black,23.2,124.2,6.9,Urea
Mustard,Red,113.7,2.5,114.1,DAP
Wheat,Black,108.4,14.2,75.6,DAP
Rice,Laterite,119.5,65.0,106.1,Organic Compost
Onion,Clay,45.1,64.9,32.2,MOP
Tomato,Desert,113.0,85.4,88.7,Organic Compost
Sugarcane,Black,110.5,75.9,130.4,Organic Compost
Rice,Alluvial,97.8,98.1,9.2,MOP
Sugarcane,Black,35.6,4.4,87.8,Urea
Maize,Black,111.0,106.7,57.4,Organic Compost
Sugarcane,Red,23.2,134.2,114.5,Urea
Sugarcane,Laterite,37.4,4.5,45.1,Urea
Chickpea,Desert,45.7,57.2,65.6,Urea
Sugarcane,Clay,69.8,58.5,135.0,Urea
Soybean,Red,27.1,52.6,76.5,Urea
Potato,Laterite,69.1,36.0,110.8,DAP
Millets,Clay,118.5,56.5,78.0,Organic Compost
Chickpea,Sandy,138.1,25.0,47.0,DAP
Rice,Laterite,13.6,27.6,69.1,Urea
Soybean,Desert,43.7,131.6,39.6,Urea
Mustard,Clay,117.7,44.4,55.3,Organic Compost
Millets,Laterite,41.3,74.4,116.0,Urea
Wheat,Black,134.7,16.3,109.2,DAP
Groundnut,Black,76.0,37.1,76.1,DAP
Onion,Black,0.9,7.9,88.6,Urea
Groundnut,Red,34.0,100.2,42.6,Urea
Soybean,Red,75.5,135.2,82.9,Organic Compost
Soybean,Laterite,40.8,134.3,45.5,Urea
Mustard,Alluvial,121.0,5.5,119.0,DAP
Banana,Black,68.6,89.6,132.1,Urea
Cotton,Laterite,90.4,26.0,59.4,DAP
Soybean,Clay,109.7,71.4,53.2,Organic Compost
Potato,Alluvial,137.0,132.8,123.3,Organic Compost
Wheat,Desert,69.7,114.8,39.7,MOP
Chickpea,Loamy,123.1,75.8,118.0,Organic Compost
Maize,Desert,129.8,58.5,30.8,MOP
Potato,Sandy,85.6,86.9,5.2,NPK 10-26-26
Soybean,Desert,97.4,15.9,10.4,NPK 10-26-26
Banana,Clay,101.2,89.4,89.7,Organic Compost
Mustard,Red,45.1,59.6,138.6,Urea
Maize,Loamy,113.3,24.9,56.8,DAP
Sugarcane,Desert,21.6,63.3,126.8,Urea
Tomato,Loamy,36.0,26.2,52.4,NPK 20-20-20
Maize,Clay,100.9,116.9,24.0,MOP
Onion,Clay,22.9,20.4,53.6,NPK 20-20-20
Mustard,Alluvial,43.8,122.6,7.9,MOP
Millets,Loamy,74.3,70.8,2.4,MOP
Mustard,Loamy,135.6,57.1,66.1,Organic Compost
Sugarcane,Clay,107.8,70.7,125.7,Organic Compost
Wheat,Sandy,110.3,56.9,133.5,Organic Compost
Banana,Loamy,31.1,108.5,45.1,Urea
Mustard,Alluvial,113.0,134.3,13.2,MOP
Wheat,Clay,15.3,34.6,54.9,Urea
Maize,Laterite,19.2,35.9,65.4,Urea
Potato,Desert,109.3,102.7,121.2,Organic Compost
Rice,Alluvial,109.3,72.2,18.3,MOP
Potato,Clay,69.7,130.1,116.7,Organic Compost
Potato,Black,97.2,12.9,10.9,NPK 10-26-26
Millets,Black,129.4,16.6,27.8,NPK 10-26-26
Soybean,Laterite,121.4,13.9,53.5,DAP
Mustard,Red,33.5,84.0,20.1,Urea
Banana,Clay,140.0,12.9,95.9,DAP
Wheat,Sandy,35.7,83.5,88.3,Urea
Sugarcane,Black,24.4,129.4,23.3,Urea
Potato,Alluvial,127.8,23.5,33.4,NPK 10-26-26
Banana,Desert,102.3,73.1,37.3,MOP
Cotton,Black,109.9,51.7,14.7,MOP
Tomato,Sandy,106.4,123.2,134.7,Organic Compost
Potato,Alluvial,36.7,78.4,75.5,Urea
Banana,Laterite,39.9,124.0,124.8,Urea
Onion,Clay,138.2,109.9,91.4,Organic Compost
Groundnut,Loamy,107.0,82.0,139.6,Organic Compost
Mustard,Black,45.0,64.1,47.5,Urea
Potato,Black,7.9,5.6,101.5,Urea
Soybean,Sandy,11.4,27.4,6.7,NPK 20-20-20
Rice,Loamy,55.2,74.6,15.8,MOP
Chickpea,Black,18.3,21.4,88.0,Urea
Millets,Alluvial,93.9,86.6,30.5,MOP
Wheat,Loamy,46.6,103.4,85.9,Urea
Wheat,Desert,90.5,122.4,79.6,Organic Compost
Tomato,Alluvial,36.3,106.3,39.2,Urea
Onion,Red,87.9,12.0,62.5,DAP
Onion,Black,65.4,12.0,51.3,NPK 10-26-26
Millets,Sandy,121.0,75.4,58.3,Organic Compost
Wheat,Desert,72.6,66.6,48.4,Organic Compost
Rice,Loamy,80.0,123.9,50.9,Organic Compost
Soybean,Alluvial,50.1,61.5,112.1,Urea
Banana,Sandy,65.9,67.1,6.0,MOP
Millets,Red,26.2,63.5,39.7,NPK 10-26-26
Cotton,Laterite,90.5,47.4,108.7,Organic Compost
Rice,Alluvial,130.9,129.0,56.9,Organic Compost
Millets,Clay,74.3,16.4,16.1,NPK 10-26-26
Groundnut,Clay,84.3,42.0,22.7,MOP
Banana,Sandy,124.0,74.4,108.2,Organic Compost
Cotton,Loamy,61.3,12.3,68.2,DAP
Chickpea,Alluvial,66.8,122.3,110.6,Organic Compost
Millets,Black,118.8,21.4,38.8,NPK 10-26-26
Rice,Laterite,88.1,115.8,64.6,Organic Compost
Maize,Loamy,84.6,24.5,26.6,NPK 10-26-26
Groundnut,Sandy,28.7,67.8,49.9,Urea
Maize,Black,19.7,44.9,121.6,Urea
Mustard,Alluvial,12.3,69.0,38.8,Urea
Sugarcane,Laterite,119.4,15.1,135.8,DAP
Wheat,Sandy,131.6,65.8,20.8,MOP
Maize,Clay,120.3,68.4,102.5,Organic Compost
Maize,Black,82.1,59.0,22.5,MOP
Potato,Loamy,72.9,26.5,33.8,NPK 10-26-26
Tomato,Clay,24.8,113.7,110.3,Urea
Cotton,Loamy,49.3,107.9,67.2,Urea
Sugarcane,Laterite,64.1,70.7,125.7,Urea
Onion,Red,134.7,33.9,1.6,NPK 10-26-26
Sugarcane,Desert,95.5,57.1,76.1,Organic Compost
Millets,Desert,14.4,121.5,86.4,NPK 10-26-26
Wheat,Sandy,132.8,59.7,100.2,Urea
Chickpea,Clay,67.5,129.3,72.9,Organic Compost
Cotton,Sandy,72.9,132.8,69.4,Organic Compost
Chickpea,Alluvial,92.0,127.6,125.9,Organic Compost
Soybean,Laterite,113.5,46.9,131.2,Organic Compost
Maize,Alluvial,108.1,56.7,49.8,Organic Compost
Groundnut,Desert,80.0,138.9,48.1,Organic Compost
Banana,Black,60.3,8.7,0.1,NPK 20-20-20
Maize,Sandy,61.2,72.5,62.4,Urea
Onion,Clay,112.5,117.3,29.7,MOP
Millets,Clay,131.9,76.0,69.0,Organic Compost
Chickpea,Desert,59.6,23.1,116.8,DAP
Maize,Black,45.3,77.5,102.4,Urea
Soybean,Black,30.3,104.2,16.3,Urea
Millets,Loamy,47.5,111.5,7.8,MOP
Maize,Sandy,71.0,122.1,28.3,MOP
Potato,Black,138.7,4.6,77.4,DAP
Wheat,Laterite,20.7,27.1,8.5,NPK 10-26-26
Onion,Black,6.4,131.5,93.2,Urea
Groundnut,Clay,68.5,79.8,120.0,Organic Compost
Groundnut,Desert,101.8,138.4,77.1,Organic Compost
Millets,Clay,105.7,3.4,17.8,NPK 10-26-26
Onion,Red,126.8,101.2,20.1,MOP
Sugarcane,Red,116.2,128.5,23.0,MOP
Sugarcane,Alluvial,92.0,121.5,50.1,Organic Compost
Millets,Loamy,19.2,117.6,105.7,Urea
Tomato,Red,111.9,130.9,49.3,MOP
Groundnut,Laterite,126.5,96.1,21.4,MOP
Maize,Loamy,103.9,48.3,103.6,Organic Compost
Onion,Desert,29.1,124.3,86.9,Urea
Cotton,Clay,19.0,113.5,68.7,Urea
Banana,Sandy,108.9,30.1,129.3,DAP
Millets,Desert,17.8,26.1,105.6,Urea
Mustard,Red,64.5,21.7,66.9,DAP
Sugarcane,Desert,90.0,89.6,63.7,Organic Compost
Rice,Black,7.2,69.4,74.6,Urea
Wheat,Alluvial,35.5,37.8,113.5,Urea
Millets,Black,2.7,49.8,31.4,Urea
Chickpea,Alluvial,54.9,75.2,106.4,Urea
Tomato,Alluvial,112.8,5.2,21.1,DAP
Potato,Loamy,84.0,74.3,58.0,MOP
Millets,Black,115.7,137.3,75.7,Organic Compost
Maize,Clay,27.0,44.9,131.6,Urea
Maize,Alluvial,76.5,82.2,83.6,Organic Compost
Soybean,Sandy,33.9,132.7,31.9,MOP
Chickpea,Alluvial,88.0,32.1,59.9,DAP
Maize,Clay,19.1,47.3,27.9,Urea
Groundnut,Black,23.4,11.6,3.6,NPK 20-20-20
Onion,Black,56.0,136.0,110.9,Urea
Groundnut,Red,3.7,19.4,74.1,Urea
Maize,Clay,16.5,93.7,2.7,Urea
Rice,Loamy,47.1,66.5,72.5,Urea
Soybean,Red,47.6,45.1,3.8,MOP
Groundnut,Desert,93.6,131.7,66.2,Organic Compost
Potato,Loamy,66.9,88.6,30.2,MOP
Groundnut,Laterite,9.6,33.1,111.1,Urea
Chickpea,Desert,8.5,128.7,133.9,Urea
Rice,Sandy,51.5,42.8,109.9,Urea
Maize,Laterite,50.5,121.7,60.1,Urea
Onion,Clay,82.9,125.2,64.1,Organic Compost
Groundnut,Clay,45.4,41.3,3.0,MOP
Soybean,Laterite,46.8,35.1,104.2,Urea
Wheat,Red,44.8,63.8,34.6,Urea
Mustard,Laterite,133.3,113.9,99.6,Organic Compost
Wheat,Sandy,41.4,53.4,25.4,MOP
Cotton,Alluvial,124.0,123.0,21.8,MOP
Groundnut,Sandy,16.6,96.5,103.3,Urea
Soybean,Desert,118.1,84.8,139.1,Organic Compost
Groundnut,Alluvial,17.3,116.6,42.8,Urea
Onion,Red,46.4,15.2,27.9,NPK 20-20-20
Groundnut,Alluvial,132.0,114.9,56.3,Organic Compost
Tomato,Alluvial,40.1,136.5,130.0,Urea
Potato,Red,10.9,130.0,87.4,Urea
Mustard,Alluvial,72.2,8.3,111.8,DAP
Mustard,Laterite,102.4,5.6,44.5,NPK 10-26-26
Groundnut,Laterite,63.1,130.5,115.7,Organic Compost
Sugarcane,Black,124.2,120.8,12.4,MOP
Potato,Laterite,11.7,40.9,85.5,Urea
Maize,Laterite,59.2,59.1,21.5,MOP
Banana,Loamy,136.6,17.9,105.9,DAP
Wheat,Clay,122.2,131.1,33.6,MOP
Chickpea,Loamy,112.7,2.1,74.9,DAP
Sugarcane,Clay,117.8,41.8,119.4,Organic Compost
Mustard,Sandy,0.2,33.0,16.6,NPK 20-20-20
Sugarcane,Alluvial,82.0,17.7,98.6,DAP
Maize,Black,89.7,131.5,138.8,Organic Compost
Cotton,Red,85.7,126.9,3.9,Organic Compost
Soybean,Alluvial,112.6,19.3,24.7,NPK 10-26-26
Sugarcane,Desert,79.4,102.6,26.3,MOP
Maize,Alluvial,39.6,63.5,31.7,Urea
Soybean,Sandy,29.7,1.2,10.4,Urea
Banana,Alluvial,19.4,13.0,114.5,Urea
Potato,Sandy,22.3,73.1,17.0,MOP
Banana,Loamy,97.4,4.2,108.9,DAP
Soybean,Sandy,26.0,110.6,18.8,Urea
Mustard,Desert,54.1,34.2,48.2,Urea
Onion,Loamy,6.2,5.8,40.3,NPK 20-20-20
Potato,Alluvial,100.4,3.3,129.4,DAP
Maize,Black,120.3,86.5,79.8,Organic Compost
Soybean,Alluvial,19.6,73.5,16.3,Urea
Tomato,Black,21.8,31.1,113.9,Urea
Potato,Red,46.3,130.9,97.1,Urea
Wheat,Black,92.4,113.6,92.0,Organic Compost
Mustard,Red,37.1,5.8,14.7,NPK 20-20-20
Potato,Desert,106.3,108.6,92.9,Organic Compost
Millets,Desert,36.2,69.9,56.6,Urea
Onion,Laterite,39.9,24.3,30.4,NPK 20-20-20
Sugarcane,Desert,115.9,9.0,137.5,DAP
Cotton,Clay,73.6,88.8,50.5,Organic Compost
Banana,Black,7.0,5.1,122.5,Urea
Onion,Clay,27.9,51.3,41.1,Urea
Onion,Clay,122.6,31.1,47.3,NPK 10-26-26
Mustard,Desert,16.4,67.1,110.6,Urea
Wheat,Loamy,135.5,131.4,91.3,Organic Compost
Rice,Laterite,90.1,110.4,64.9,Organic Compost
Millets,Clay,95.8,40.5,87.3,Organic Compost
Mustard,Clay,107.5,10.1,87.5,DAP
Sugarcane,Black,122.6,95.3,64.6,Organic Compost
Banana,Loamy,77.4,75.6,76.1,Organic Compost
Cotton,Red,46.2,31.5,61.4,Urea
Cotton,Black,9.8,117.2,33.8,Urea
Banana,Clay,128.9,121.8,98.2,Organic Compost
Onion,Loamy,47.6,124.0,122.1,Urea
Chickpea,Sandy,47.4,94.9,85.9,Urea
Tomato,Alluvial,34.4,111.6,96.5,Urea
Banana,Black,9.7,83.7,124.3,Urea
Soybean,Clay,66.4,39.4,38.8,NPK 10-26-26
Wheat,Black,118.3,60.0,86.1,Organic Compost
Soybean,Red,66.0,100.9,133.4,Organic Compost
Sugarcane,Laterite,89.0,12.0,116.1,DAP
Chickpea,Clay,77.4,21.3,103.5,DAP
Banana,Loamy,113.1,80.6,38.0,MOP
Onion,Sandy,93.2,88.7,56.1,MOP
Chickpea,Desert,97.5,38.1,65.7,DAP
Onion,Alluvial,113.1,121.3,32.4,MOP
Mustard,Sandy,23.3,5.6,14.8,NPK 20-20-20
Banana,Alluvial,27.3,74.0,110.0,Urea
Soybean,Clay,124.0,84.6,117.2,Organic Compost
Onion,Laterite,125.4,96.1,60.3,Organic Compost
Mustard,Sandy,18.5,6.6,58.0,Urea
Cotton,Desert,91.0,118.1,62.2,Organic Compost
Banana,Desert,119.7,17.1,97.8,DAP
Cotton,Black,0.4,67.1,18.0,Urea
Cotton,Alluvial,35.1,2.1,139.0,DAP
Wheat,Sandy,72.6,121.5,20.2,MOP
Tomato,Alluvial,5.1,18.6,76.6,Urea
Mustard,Alluvial,56.5,22.0,98.6,DAP
Sugarcane,Clay,66.4,57.7,68.9,Urea
Potato,Laterite,89.9,116.8,87.0,Organic Compost
Soybean,Clay,82.7,101.8,107.6,Organic Compost
Wheat,Clay,108.3,84.6,138.3,Organic Compost
Rice,Alluvial,94.7,86.2,47.2,Organic Compost
Groundnut,Clay,12.3,102.6,53.8,Urea
Maize,Red,113.4,103.5,107.0,Organic Compost
Groundnut,Black,56.7,111.0,68.5,Urea
Millets,Black,65.7,37.0,53.6,DAP
Potato,Desert,90.0,24.3,107.0,DAP
Millets,Sandy,81.8,8.5,28.5,NPK 10-26-26
Onion,Alluvial,105.5,2.1,112.7,DAP
Onion,Alluvial,38.1,107.7,137.5,Urea
Tomato,Black,84.7,38.2,41.2,NPK 10-26-26
Onion,Clay,6.7,122.4,82.5,Urea
Sugarcane,Loamy,72.3,107.8,4.5,MOP
Potato,Laterite,132.2,55.1,136.5,Organic Compost
Potato,Laterite,60.1,18.1,86.1,DAP
Groundnut,Black,33.3,133.9,50.9,Urea
Groundnut,Desert,19.2,49.4,109.1,Urea
Soybean,Red,114.9,0.6,115.7,DAP
Groundnut,Laterite,132.7,114.7,2.7,MOP
Banana,Laterite,76.3,50.4,65.9,Organic Compost
Mustard,Black,3.9,90.2,54.7,Urea
Groundnut,Sandy,129.1,77.9,90.6,Organic Compost
Rice,Black,57.8,87.9,35.4,Urea
Potato,Loamy,128.4,71.3,32.7,MOP
Maize,Black,60.8,121.2,107.5,Urea
Wheat,Alluvial,62.6,1.6,84.0,DAP
Groundnut,Red,19.2,1.7,35.4,Urea
Groundnut,Laterite,66.7,61.2,27.9,MOP
Mustard,Clay,40.8,43.8,76.0,Urea
