soil_type,temperature,humidity,rainfall,ph,crop
Red,31.9,64.8,114.4,6.06,Groundnut
Alluvial,25.5,50.1,48.6,6.94,Onion
Alluvial,22.1,73.9,74.1,6.22,Tomato
Laterite,24.6,70.5,98.8,7.36,Soybean
Alluvial,25.4,64.1,71.3,6.43,Mustard
Alluvial,31.9,70.6,97.2,5.82,Maize
Loamy,24.2,59.5,45.3,6.02,Mustard
Loamy,31.3,75.1,214.6,7.07,Sugarcane
Alluvial,25.0,77.8,299.3,6.83,Rice
Red,22.1,50.2,83.4,6.56,Onion
Loamy,32.9,69.8,224.3,6.45,Banana
Black,23.6,68.9,104.8,7.27,Soybean
Red,26.7,54.8,82.8,6.81,Tomato
Red,33.6,45.6,79.2,5.97,Groundnut
Alluvial,20.8,45.6,36.7,7.24,Chickpea
Black,22.9,57.1,56.4,7.28,Onion
Loamy,25.4,66.7,60.1,7.18,Onion
Black,20.3,52.7,94.4,7.03,Onion
Loamy,17.7,50.8,98.9,6.66,Wheat
Black,27.1,84.1,140.5,7.04,Sugarcane
Red,23.1,76.8,87.3,6.0,Soybean
Loamy,31.7,77.2,238.7,6.55,Sugarcane
Alluvial,27.7,74.7,216.0,7.2,Banana
Red,29.9,51.7,97.2,7.96,Cotton
Alluvial,15.4,65.7,61.1,6.3,Wheat
Alluvial,18.9,75.0,128.7,6.53,Potato
Red,31.4,45.7,71.4,6.03,Cotton
Red,25.5,58.4,101.8,6.07,Groundnut
Laterite,28.9,77.8,227.0,6.26,Banana
Loamy,24.0,55.8,70.1,7.06,Mustard
Red,27.3,77.7,127.0,6.19,Tomato
Red,16.2,50.0,38.3,7.07,Mustard
Black,24.4,45.3,79.3,6.11,Mustard
Red,29.7,47.5,41.2,6.6,Millets
Loamy,33.7,92.7,132.9,7.04,Banana
Red,24.4,40.7,34.6,7.72,Millets
Alluvial,28.1,67.9,147.9,6.4,Maize
Loamy,21.5,71.0,97.6,6.65,Onion
Black,19.3,52.8,38.7,6.1,Mustard
Alluvial,32.9,84.9,191.6,6.34,Sugarcane
Red,24.6,64.3,99.1,6.27,Soybean
Loamy,23.7,53.3,49.2,6.75,Wheat
Alluvial,19.1,69.6,86.4,6.3,Wheat
Loamy,28.1,61.6,75.6,7.18,Onion
Loamy,22.6,79.1,60.6,6.6,Maize
Black,13.8,43.6,81.7,6.35,Mustard
Black,22.6,51.9,36.3,7.16,Mustard
Alluvial,28.7,62.4,96.7,6.85,Tomato
Black,29.1,68.9,49.2,6.59,Onion
Loamy,28.5,60.2,77.8,6.07,Cotton
Loamy,17.1,77.6,103.7,6.29,Potato
Alluvial,21.4,72.6,46.2,7.45,Onion
Loamy,14.7,50.2,88.1,7.52,Wheat
Black,24.4,79.4,131.0,6.01,Soybean
Alluvial,31.3,73.6,195.6,7.17,Banana
Alluvial,23.1,47.3,85.6,6.73,Chickpea
Alluvial,18.4,64.0,77.7,6.01,Onion
Loamy,29.7,74.4,169.2,7.07,Banana
Sandy,17.8,80.2,113.4,6.06,Potato
Black,31.0,73.9,149.9,6.7,Sugarcane
Loamy,30.1,77.7,107.0,7.2,Maize
Clay,16.9,56.9,37.4,7.25,Mustard
Red,20.0,55.3,85.8,6.08,Onion
Red,35.3,58.0,108.3,7.72,Cotton
Alluvial,26.2,75.4,222.3,6.41,Banana
Loamy,23.9,70.4,86.7,6.69,Wheat
Red,31.6,54.3,106.7,7.47,Cotton
Loamy,22.6,46.2,62.9,5.99,Chickpea
Alluvial,17.5,49.7,70.0,7.8,Chickpea
Black,27.7,47.3,101.7,7.62,Cotton
Black,15.2,65.6,66.9,6.92,Mustard
Alluvial,20.4,66.1,69.8,7.14,Onion
Loamy,26.9,72.3,245.1,6.77,Sugarcane
Alluvial,22.7,62.0,77.9,6.49,Wheat
Sandy,21.1,59.3,124.8,5.79,Potato
Black,21.8,54.0,69.6,6.69,Wheat
Red,32.9,65.6,60.9,5.68,Millets
Loamy,22.5,50.7,42.5,6.18,Mustard
Loamy,21.9,79.3,87.6,5.78,Potato
Loamy,21.7,56.5,92.1,6.68,Onion
Desert,24.2,61.6,102.6,6.49,Tomato
Loamy,23.1,80.1,88.4,5.96,Potato
Loamy,19.6,56.6,67.8,6.11,Wheat
Red,31.3,56.5,114.8,7.94,Cotton
Red,26.0,58.3,75.8,6.48,Groundnut
Alluvial,30.0,72.9,221.6,6.27,Sugarcane
Loamy,28.6,84.6,84.2,6.53,Soybean
Loamy,23.3,58.8,49.9,7.47,Onion
Black,24.6,50.7,62.4,6.28,Chickpea
Loamy,19.2,75.5,133.3,5.43,Potato
Black,31.7,46.2,68.0,6.83,Cotton
Loamy,17.7,51.6,74.1,7.16,Onion
Black,24.2,70.5,96.6,7.22,Wheat
Loamy,26.7,60.8,110.6,5.91,Maize
Black,15.2,67.6,56.7,6.83,Wheat
Sandy,33.4,64.0,63.5,6.76,Millets
Laterite,30.2,89.1,304.4,5.66,Rice
Red,30.0,53.3,101.4,8.02,Cotton
Sandy,23.6,66.6,62.3,6.64,Groundnut
Red,32.1,45.5,65.0,6.2,Millets
Alluvial,20.2,85.4,84.1,5.01,Potato
Alluvial,20.2,69.9,61.5,6.32,Potato
Alluvial,28.8,61.4,93.2,5.89,Maize
Loamy,23.7,78.6,102.4,5.28,Potato
Red,24.2,52.4,34.8,7.32,Millets
Black,25.8,78.1,91.3,6.39,Soybean
Black,20.7,45.9,46.8,7.04,Chickpea
Red,29.7,60.9,83.5,7.55,Cotton
Red,25.6,62.7,112.0,6.68,Cotton
Red,27.1,55.3,124.7,6.35,Tomato
Laterite,30.4,56.0,59.8,6.53,Millets
Loamy,20.5,45.2,60.9,6.08,Chickpea
Alluvial,23.4,82.7,84.8,6.03,Potato
Clay,27.5,77.7,118.5,7.15,Soybean
Black,31.6,70.4,231.8,7.22,Sugarcane
Alluvial,21.6,52.2,83.3,7.34,Chickpea
Sandy,24.9,50.5,70.1,6.31,Groundnut
Red,34.2,52.4,64.0,8.06,Millets
Alluvial,34.0,79.2,117.6,6.81,Banana
Red,28.9,67.1,155.2,6.96,Maize
Loamy,19.2,53.9,58.1,6.59,Onion
Black,19.3,61.5,45.7,6.6,Wheat
Red,22.4,75.8,132.7,6.93,Tomato
Loamy,29.4,61.9,87.0,6.74,Cotton
Laterite,26.8,57.5,72.1,7.0,Groundnut
Alluvial,27.8,62.5,81.8,6.85,Onion
Black,30.1,66.4,86.9,6.83,Onion
Sandy,21.8,77.9,120.1,6.15,Potato
Black,31.5,79.3,139.3,7.48,Sugarcane
Red,26.0,59.9,87.9,7.51,Cotton
Loamy,26.4,59.0,95.8,6.38,Tomato
Sandy,24.3,74.3,92.4,6.43,Potato
Loamy,24.8,70.5,88.0,6.27,Maize
Loamy,23.3,60.6,57.0,6.89,Tomato
Loamy,25.9,51.8,97.4,7.48,Cotton
Black,23.0,64.8,73.7,6.54,Wheat
Loamy,30.1,79.8,154.0,6.34,Banana
Loamy,26.6,78.7,167.5,7.06,Sugarcane
Red,25.3,73.5,154.8,6.95,Maize
Sandy,33.7,35.9,72.1,7.52,Millets
Desert,25.1,47.9,66.2,6.11,Millets
Loamy,32.0,66.6,61.1,5.88,Maize
Loamy,16.5,39.5,79.3,6.99,Chickpea
Laterite,26.7,91.4,183.0,5.63,Rice
Alluvial,27.7,58.8,116.1,6.14,Maize
Red,34.6,63.5,64.6,6.72,Cotton
Alluvial,29.6,75.8,207.9,6.48,Sugarcane
Loamy,26.1,65.5,108.9,7.31,Cotton
Alluvial,24.1,44.3,54.9,7.43,Chickpea
Desert,22.8,78.8,91.4,6.62,Tomato
Black,31.0,89.0,189.6,6.09,Sugarcane
Red,28.7,68.7,83.2,6.72,Tomato
Black,25.4,53.0,59.9,7.0,Chickpea
Loamy,25.5,85.1,120.9,6.17,Soybean
Laterite,24.0,61.7,82.0,7.13,Millets
Loamy,23.4,60.5,110.7,6.8,Tomato
Red,29.3,62.6,77.0,6.65,Soybean
Sandy,34.0,47.2,90.2,6.68,Millets
Loamy,21.4,70.5,51.7,6.1,Wheat
Clay,30.0,75.9,289.3,5.78,Rice
Loamy,14.9,63.1,130.9,6.22,Potato
Sandy,21.2,70.6,116.1,6.78,Tomato
Sandy,15.9,80.8,87.3,5.15,Potato
Loamy,24.4,68.7,119.3,5.81,Potato
Red,34.6,48.3,111.9,5.97,Cotton
Black,17.7,69.2,93.8,6.99,Onion
Red,29.2,61.8,64.1,6.52,Groundnut
Alluvial,26.6,59.2,84.5,6.99,Onion
Loamy,21.6,69.1,51.6,7.18,Onion
Alluvial,33.5,77.5,234.6,7.1,Banana
Laterite,33.9,37.7,46.0,6.03,Millets
Clay,30.2,86.2,226.4,6.71,Rice
Sandy,33.4,60.3,99.2,7.51,Cotton
Loamy,30.8,71.7,170.5,6.33,Sugarcane
Black,16.5,57.3,98.9,6.76,Wheat
Laterite,35.4,76.2,210.1,5.65,Rice
Loamy,27.4,59.6,130.4,6.82,Soybean
Alluvial,35.2,83.5,212.8,5.97,Rice
Loamy,20.3,63.4,85.6,6.98,Wheat
Alluvial,27.2,87.2,242.0,6.72,Sugarcane
Sandy,25.0,48.1,90.1,6.7,Millets
Sandy,16.3,78.4,62.9,5.08,Potato
Loamy,19.8,70.3,53.9,6.43,Wheat
Loamy,24.1,58.2,74.7,6.73,Wheat
Sandy,27.3,55.9,82.7,6.76,Groundnut
Loamy,23.9,75.2,195.6,7.36,Sugarcane
Black,25.2,51.9,77.0,6.87,Chickpea
Loamy,25.4,41.0,63.5,6.39,Mustard
Alluvial,31.6,69.2,103.8,6.8,Maize
Loamy,32.1,59.0,106.6,6.34,Cotton
Alluvial,25.5,58.7,59.1,6.36,Maize
Red,33.2,56.5,69.0,6.92,Groundnut
Alluvial,21.5,72.6,88.4,6.38,Tomato
Loamy,24.2,68.6,155.7,6.56,Maize
Laterite,26.9,59.3,77.3,7.75,Millets
Red,22.2,66.9,99.2,6.7,Tomato
Red,31.4,62.8,97.6,7.44,Cotton
Red,29.8,58.7,64.3,6.31,Tomato
Clay,32.5,81.1,265.5,6.1,Rice
Black,20.6,49.0,46.8,7.46,Mustard
Red,26.8,53.4,75.1,6.12,Groundnut
Loamy,30.2,81.2,254.8,6.58,Banana
Alluvial,32.0,90.3,188.4,6.5,Sugarcane
Desert,32.3,47.8,89.5,7.52,Millets
Alluvial,23.0,71.7,102.4,6.67,Tomato
Red,28.3,50.8,108.2,6.16,Groundnut
Alluvial,27.3,80.1,212.8,5.53,Rice
Black,22.5,55.2,41.3,6.31,Chickpea
Loamy,31.8,72.1,115.1,6.42,Maize
Loamy,23.3,53.2,62.0,6.89,Wheat
Alluvial,21.6,74.7,72.7,6.66,Onion
Red,20.9,74.6,68.9,6.9,Tomato
Loamy,23.2,49.4,76.6,7.25,Onion
Alluvial,26.6,89.8,173.1,6.24,Sugarcane
Sandy,27.4,48.8,74.2,7.29,Millets
Loamy,31.7,77.8,253.5,6.08,Banana
Loamy,24.4,84.6,120.6,6.34,Soybean
Laterite,31.8,65.8,90.6,7.2,Millets
Red,25.4,56.7,111.5,6.99,Groundnut
Laterite,33.2,88.9,144.5,7.03,Banana
Sandy,36.0,34.7,64.0,7.56,Millets
Red,31.7,62.1,83.6,6.81,Maize
Sandy,21.6,74.6,141.8,5.11,Potato
Alluvial,15.2,60.9,89.3,5.31,Potato
Black,16.6,51.2,95.5,7.17,Wheat
Alluvial,22.6,80.5,114.5,6.52,Potato
Sandy,32.1,52.6,112.1,6.08,Groundnut
Loamy,22.3,52.6,39.3,5.96,Mustard
Loamy,19.3,67.8,80.9,7.05,Wheat
Black,17.4,52.7,71.1,7.5,Chickpea
Alluvial,17.6,61.4,99.1,5.1,Potato
Alluvial,16.6,68.4,91.0,6.51,Wheat
Laterite,33.4,50.2,106.6,6.58,Groundnut
Black,18.0,48.4,33.6,7.27,Chickpea
Alluvial,27.1,71.6,252.2,6.23,Sugarcane
Black,30.0,78.0,134.9,7.25,Soybean
Sandy,32.4,76.6,235.6,6.78,Sugarcane
Red,28.5,54.9,85.8,5.9,Maize
Alluvial,25.3,46.8,79.2,6.48,Mustard
Loamy,27.9,71.3,254.1,6.16,Banana
Loamy,32.4,77.1,124.8,7.31,Soybean
Loamy,24.0,83.7,171.0,7.26,Soybean
Alluvial,18.4,73.6,117.6,5.76,Potato
Sandy,31.5,55.9,37.1,7.29,Millets
Laterite,32.1,71.7,151.2,6.68,Banana
Red,31.8,64.7,54.6,6.17,Millets
Alluvial,23.0,67.3,80.2,6.54,Potato
Alluvial,29.0,80.7,160.9,7.12,Maize
Black,21.1,57.8,36.7,6.6,Chickpea
Sandy,29.2,67.9,109.0,6.22,Groundnut
Loamy,24.5,62.7,151.4,6.21,Soybean
Alluvial,27.1,65.1,115.7,6.4,Maize
Loamy,23.9,66.2,146.2,6.75,Maize
Black,36.3,62.1,89.3,7.04,Cotton
Black,23.5,42.2,72.5,6.29,Chickpea
Sandy,28.2,72.3,91.8,6.72,Maize
Laterite,21.0,61.4,29.2,7.17,Mustard
Red,29.6,55.5,121.9,7.44,Cotton
Laterite,14.7,62.3,48.8,5.98,Mustard
Alluvial,27.9,68.1,105.1,6.18,Tomato
Laterite,26.9,75.6,219.3,6.3,Banana
Red,27.3,55.2,64.6,6.79,Maize
Alluvial,21.7,46.7,78.4,7.42,Mustard
Loamy,24.5,57.1,81.2,7.44,Onion
Black,15.1,47.8,34.7,6.16,Mustard
Loamy,17.3,40.0,50.6,6.75,Mustard
Sandy,32.6,51.6,82.5,6.92,Millets
Loamy,29.5,62.1,73.4,6.4,Tomato
Red,35.1,53.4,98.3,6.53,Cotton
Loamy,26.7,73.3,104.7,7.49,Soybean
Loamy,17.1,39.8,43.2,7.74,Chickpea
Alluvial,24.9,72.8,120.2,6.07,Maize
Red,32.2,50.1,100.9,6.72,Groundnut
Black,18.1,68.4,91.5,6.74,Wheat
Red,23.9,72.8,154.3,6.03,Maize
Loamy,25.8,67.6,151.6,7.26,Soybean
Loamy,20.2,49.8,81.0,7.24,Mustard
Loamy,29.2,68.5,125.2,6.74,Tomato
Black,32.8,50.5,106.7,6.55,Cotton
Loamy,27.2,73.4,167.1,6.39,Sugarcane
Loamy,28.9,86.2,125.7,6.6,Banana
Clay,24.0,91.9,160.7,5.52,Rice
Alluvial,24.3,56.2,73.1,6.38,Maize
Red,19.7,75.0,66.2,6.28,Tomato
Loamy,34.0,67.9,81.4,6.46,Cotton
Alluvial,31.5,86.6,258.9,5.96,Banana
Laterite,33.3,86.7,219.9,5.67,Rice
Loamy,22.4,40.3,58.3,6.82,Mustard
Loamy,24.5,83.4,167.7,6.63,Soybean
Alluvial,15.9,50.0,66.4,7.34,Mustard
Alluvial,32.4,76.6,239.5,6.39,Sugarcane
Alluvial,22.1,51.3,96.3,7.11,Wheat
Red,25.8,72.6,132.4,6.53,Soybean
Alluvial,23.0,62.1,110.5,5.86,Potato
Alluvial,21.7,68.0,80.2,6.93,Wheat
Alluvial,16.1,53.8,34.2,6.4,Mustard
Sandy,31.8,57.0,85.9,5.69,Millets
Alluvial,24.9,64.6,121.2,6.08,Maize
Alluvial,24.1,64.5,79.1,6.44,Wheat
Sandy,21.9,62.6,89.1,5.77,Potato
Black,26.6,66.1,109.8,7.8,Cotton
Desert,26.9,51.6,58.5,7.76,Millets
Laterite,25.0,81.1,264.7,6.33,Rice
Loamy,29.8,84.7,156.7,7.12,Sugarcane
Loamy,31.7,73.0,246.3,6.8,Sugarcane
Laterite,24.1,67.1,50.7,6.3,Groundnut
Black,24.8,57.2,53.1,7.48,Mustard
Red,30.8,55.3,64.0,6.76,Groundnut
Black,29.0,71.9,58.5,6.8,Onion
Alluvial,23.9,71.8,125.6,6.83,Tomato
Red,28.9,65.9,65.7,6.58,Tomato
Red,23.5,71.5,87.0,6.49,Soybean
Black,23.4,51.0,81.3,6.22,Chickpea
Alluvial,25.0,76.1,210.2,6.0,Banana
Red,33.1,68.0,94.2,7.99,Cotton
Loamy,24.6,47.8,88.3,7.03,Chickpea
Loamy,16.4,52.0,38.5,6.42,Chickpea
Black,30.0,52.4,74.3,6.21,Onion
Loamy,29.8,69.9,68.0,5.88,Maize
Red,32.4,55.7,145.3,6.71,Maize
Black,21.4,61.0,36.9,6.36,Mustard
Alluvial,20.4,54.2,46.6,7.18,Wheat
Loamy,28.3,71.0,168.3,7.0,Sugarcane
Loamy,32.0,79.5,133.2,5.86,Maize
Black,18.9,69.1,59.9,7.03,Wheat
Red,29.9,45.6,115.0,7.67,Cotton
Loamy,30.4,67.2,78.8,6.54,Tomato
Black,23.0,82.9,152.1,7.06,Soybean
Red,31.7,82.4,99.1,7.07,Soybean
Alluvial,33.0,74.2,293.7,6.06,Rice
Black,19.9,53.7,71.9,7.2,Onion
Loamy,22.6,51.6,82.7,6.87,Chickpea
Loamy,28.7,64.5,62.5,6.22,Tomato
Red,31.1,45.1,78.9,6.96,Millets
Loamy,22.2,46.5,59.6,6.37,Chickpea
Black,23.9,82.6,210.0,6.07,Sugarcane
Laterite,33.6,70.7,74.4,6.1,Groundnut
Desert,34.1,81.3,208.4,7.03,Banana
Alluvial,34.9,71.9,281.8,6.34,Rice
Red,23.2,69.8,125.0,6.28,Tomato
Alluvial,33.0,89.1,166.4,6.53,Rice
Red,26.6,48.2,121.0,6.22,Groundnut
Sandy,28.2,69.2,110.4,6.46,Groundnut
Loamy,27.7,74.2,93.0,6.58,Onion
Loamy,27.6,77.4,90.3,6.48,Maize
Loamy,27.9,87.0,201.0,6.94,Sugarcane
Red,21.7,59.5,160.0,6.21,Soybean
Black,33.8,53.8,69.9,7.96,Cotton
Red,22.3,71.9,111.7,6.53,Maize
Black,32.1,84.6,105.5,6.0,Soybean
Sandy,27.3,52.7,96.0,5.92,Millets
Black,26.0,66.0,111.1,6.21,Soybean
Clay,21.6,76.6,156.8,6.09,Maize
Loamy,27.2,83.7,153.3,7.43,Sugarcane
Clay,28.5,69.2,162.2,6.65,Rice
Black,19.2,45.4,77.7,7.57,Chickpea
Loamy,27.1,57.9,109.3,6.01,Onion
Black,16.8,61.3,60.1,7.63,Chickpea
Black,23.2,85.9,142.7,6.65,Soybean
Loamy,24.2,68.3,118.3,6.83,Soybean
Alluvial,21.4,50.1,44.5,6.84,Wheat
Alluvial,30.4,72.7,200.3,6.55,Banana
Loamy,28.7,76.6,161.3,6.73,Sugarcane
Laterite,28.4,86.8,178.6,6.12,Banana
Red,29.8,49.9,111.3,7.28,Onion
Red,25.1,79.1,72.1,7.24,Maize
Loamy,16.1,62.9,78.9,5.81,Potato
Loamy,19.0,58.8,47.1,7.23,Wheat
Alluvial,30.3,68.2,88.6,6.33,Tomato
Black,23.6,66.7,97.8,6.44,Onion
Black,18.7,57.1,73.8,6.69,Wheat
Red,27.3,63.6,99.1,6.3,Groundnut
Desert,34.6,45.5,42.8,6.39,Millets
Loamy,16.5,63.1,94.1,5.68,Potato
Alluvial,26.4,75.0,236.5,6.03,Rice
Loamy,23.4,80.4,63.4,6.11,Potato
Alluvial,21.3,59.6,113.1,6.37,Tomato
Loamy,21.8,57.0,106.2,6.22,Tomato
Alluvial,18.4,62.1,131.6,5.92,Potato
Loamy,25.1,66.0,123.1,7.05,Soybean
Alluvial,18.9,70.7,71.7,6.71,Wheat
Loamy,31.1,63.5,58.6,8.05,Cotton
Alluvial,33.2,76.7,298.4,5.86,Rice
Sandy,24.1,80.0,75.6,5.13,Potato
Alluvial,25.1,69.7,103.6,7.41,Onion
Red,29.0,55.6,55.0,7.06,Cotton
Loamy,24.0,58.0,70.6,6.81,Tomato
Loamy,32.3,71.6,242.4,7.17,Banana
Sandy,34.7,60.9,36.0,7.27,Millets
Alluvial,28.5,71.9,78.7,6.85,Onion
Alluvial,24.5,73.3,189.7,7.43,Sugarcane
Alluvial,19.2,53.7,91.7,6.27,Wheat
Alluvial,25.3,77.1,221.7,6.96,Sugarcane
Sandy,17.3,75.5,101.6,6.29,Potato
Alluvial,29.3,80.1,124.1,6.63,Tomato
Sandy,21.5,85.2,69.4,5.35,Potato
Red,30.3,68.6,128.2,6.31,Soybean
Alluvial,23.0,49.6,41.2,7.17,Mustard
Sandy,33.0,59.1,77.8,6.05,Groundnut
Alluvial,23.9,79.9,151.9,6.18,Maize
Black,17.9,40.3,35.5,6.12,Chickpea
Alluvial,23.2,55.7,129.7,6.69,Tomato
Black,29.5,75.0,208.4,6.07,Sugarcane
Loamy,21.3,75.3,111.4,6.26,Maize
Alluvial,15.3,40.1,68.4,7.4,Mustard
Black,27.2,64.4,76.6,6.28,Cotton
Alluvial,19.8,65.3,91.5,7.15,Wheat
Black,18.5,69.6,45.8,7.15,Wheat
Alluvial,29.1,88.4,229.7,6.75,Sugarcane
Alluvial,22.1,77.2,76.1,5.77,Potato
Loamy,32.6,82.3,143.8,6.66,Sugarcane
Loamy,28.9,76.0,74.4,7.02,Tomato
Alluvial,20.9,67.9,102.1,6.93,Wheat
Alluvial,25.4,75.4,196.2,7.29,Sugarcane
Black,24.4,61.3,134.5,6.15,Soybean
Loamy,25.8,62.4,38.8,6.42,Chickpea
Alluvial,34.0,82.7,191.3,7.52,Banana
Red,32.5,52.3,53.4,6.27,Cotton
Loamy,28.0,53.1,59.8,7.0,Cotton
Desert,27.8,37.0,92.3,7.95,Millets
Laterite,34.2,86.9,288.3,6.69,Rice
Black,23.7,82.9,254.2,6.42,Sugarcane
Laterite,29.2,51.0,84.0,6.12,Groundnut
Loamy,29.0,81.2,160.0,6.37,Banana
Laterite,23.8,71.5,64.3,6.65,Tomato
Alluvial,23.6,87.8,197.6,6.67,Rice
Alluvial,28.2,70.5,222.9,7.07,Banana
Loamy,26.4,45.2,87.0,7.7,Chickpea
Black,30.0,50.1,122.1,6.19,Cotton
Alluvial,24.0,59.5,56.1,6.7,Mustard
Sandy,28.0,66.0,80.7,6.22,Groundnut
Loamy,23.7,53.6,74.2,7.28,Wheat
Alluvial,19.0,71.2,84.6,6.05,Onion
Black,30.2,85.5,246.8,6.14,Sugarcane
Alluvial,15.6,67.2,58.3,5.68,Potato
Alluvial,34.3,74.6,215.8,7.45,Banana
Loamy,31.3,56.7,60.6,6.83,Maize
Laterite,23.8,51.0,79.0,5.71,Millets
Alluvial,32.3,84.0,263.3,5.98,Banana
Black,22.8,53.0,88.2,6.53,Wheat
Alluvial,18.1,53.0,70.6,6.58,Wheat
Clay,25.8,74.4,250.3,5.86,Rice
Laterite,25.4,73.4,164.4,6.4,Banana
Loamy,25.2,74.8,227.7,6.81,Sugarcane
Alluvial,23.0,61.5,62.1,6.21,Onion
Red,20.3,76.1,71.2,6.32,Tomato
Laterite,28.1,71.8,94.0,6.01,Tomato
Black,24.3,45.1,72.7,6.26,Mustard
Loamy,33.1,56.9,72.6,7.11,Cotton
Alluvial,20.6,58.2,76.8,6.2,Wheat
Black,25.2,52.5,40.3,6.53,Chickpea
Laterite,31.5,86.4,141.2,6.77,Banana
Laterite,26.9,45.8,67.2,6.4,Groundnut
Red,25.5,60.8,97.1,6.51,Groundnut
Alluvial,25.6,67.8,111.0,5.79,Maize
Desert,24.6,65.5,35.8,6.74,Mustard
Loamy,29.5,75.1,199.3,7.15,Banana
Loamy,19.9,61.1,73.0,7.42,Chickpea
Alluvial,25.5,59.7,69.9,6.32,Maize
Black,23.6,51.7,35.6,7.82,Chickpea
Sandy,26.3,65.6,97.7,6.53,Groundnut
